date,growth,unemp
1948Q2,0.854440,-0.142441
1948Q3,0.012101,-0.066165
1948Q4,-0.085058,-0.023222
1949Q1,-2.076586,0.786387
1949Q2,-1.491868,1.962663
1949Q3,-0.149140,2.772272
1949Q4,-1.897904,3.015214
1950Q1,3.083149,2.424823
1950Q2,1.910772,1.567766
1950Q3,2.776585,0.610708
1950Q4,1.902641,0.186984
1951Q1,1.167432,-0.570074
1951Q2,1.687332,-0.993798
1951Q3,1.296339,-0.950855
1951Q4,-0.447556,-0.774580
1952Q1,0.062912,-1.098304
1952Q2,-1.147140,-1.222028
1952Q3,-0.009357,-0.979086
1952Q4,1.148100,-1.402810
1953Q1,0.827704,-1.559867
1953Q2,0.032881,-1.716925
1953Q3,-1.370610,-1.573982
1953Q4,-1.715666,-0.631040
1954Q1,-2.303469,0.911902
1954Q2,-1.304693,1.421512
1954Q3,0.286009,1.564454
1954Q4,0.550368,0.907396
1955Q1,1.212250,0.283672
1955Q2,0.183747,-0.073385
1955Q3,0.418071,-0.397110
1955Q4,-0.032868,-0.287500
1956Q1,-1.103565,-0.511225
1956Q2,-0.451630,-0.368282
1956Q3,-0.833613,-0.458673
1956Q4,0.197204,-0.482397
1957Q1,-0.084857,-0.706122
1957Q2,-0.963790,-0.563179
1957Q3,-0.321354,-0.453570
1957Q4,-2.467759,0.222706
1958Q1,-2.956242,1.565648
1958Q2,-0.369460,2.608591
1958Q3,1.430936,2.551533
1958Q4,1.434314,1.561142
1959Q1,0.328094,1.004085
1959Q2,0.981133,0.247027
1959Q3,-1.365040,0.389970
1959Q4,-0.056427,0.699579
1960Q1,0.795566,0.209188
1960Q2,-1.193395,0.285464
1960Q3,-0.809886,0.561739
1960Q4,-1.766635,1.271349
1961Q1,0.128639,1.780958
1961Q2,0.331027,1.957233
1961Q3,0.514213,1.700176
1961Q4,1.318274,1.109785
1962Q1,0.396270,0.519394
1962Q2,0.129345,0.395670
1962Q3,0.019510,0.405279
1962Q4,-1.071432,0.348221
1963Q1,0.438606,0.557831
1963Q2,0.469169,0.500773
1963Q3,0.826390,0.243715
1963Q4,-0.189776,0.286658
1964Q1,1.304489,0.162934
1964Q2,-0.052502,-0.127457
1964Q3,0.096556,-0.351181
1964Q4,-0.478578,-0.408239
1965Q1,1.237851,-0.498630
1965Q2,0.532060,-0.755687
1965Q3,0.673767,-1.079412
1965Q4,1.368866,-1.369802
1966Q1,1.053794,-1.626860
1966Q2,-0.645908,-1.683918
1966Q3,0.113637,-1.774308
1966Q4,-0.415668,-1.864699
1967Q1,-0.342198,-1.755090
1967Q2,-0.309877,-1.778814
1967Q3,0.524996,-1.835872
1967Q4,-0.343531,-1.759596
1968Q1,0.248052,-1.949987
1968Q2,0.781396,-2.140378
1968Q3,-0.131450,-2.197436
1968Q4,-1.002303,-2.354493
1969Q1,0.490169,-2.378217
1969Q2,-0.769364,-2.368608
1969Q3,-0.353595,-2.258999
1969Q4,-1.305281,-2.282723
1970Q1,-1.522543,-1.706448
1970Q2,-0.993058,-1.130172
1970Q3,0.304351,-0.753896
1970Q4,-1.813130,-0.110954
1971Q1,1.743329,-0.034678
1971Q2,-0.913901,-0.091735
1971Q3,-0.394713,0.017874
1971Q4,-0.909846,-0.105850
1972Q1,1.262382,-0.296241
1972Q2,1.020035,-0.386632
1972Q3,0.129215,-0.543690
1972Q4,0.953140,-0.767414
1973Q1,1.414217,-1.224471
1973Q2,-0.650124,-1.248196
1973Q3,-1.004385,-1.405253
1973Q4,-0.015095,-1.462311
1974Q1,-1.184010,-1.119368
1974Q2,-0.341543,-1.076426
1974Q3,-1.936600,-0.666817
1974Q4,-1.507833,0.276126
1975Q1,-2.599595,1.919068
1975Q2,0.387707,2.495344
1975Q3,1.057602,2.071620
1975Q4,0.757667,1.881229
1976Q1,1.235691,1.290838
1976Q2,-0.180308,1.100447
1976Q3,-0.210556,1.243389
1976Q4,0.366977,1.252999
1977Q1,0.737790,0.962608
1977Q2,0.974660,0.572217
1977Q3,1.363413,0.315159
1977Q4,-0.881888,0.058102
1978Q1,0.252824,-0.298956
1978Q2,2.484520,-0.656013
1978Q3,0.228199,-0.646404
1978Q4,0.608328,-0.803462
1979Q1,-0.621903,-0.860519
1979Q2,-0.719379,-1.050910
1979Q3,0.273788,-0.907968
1979Q4,-0.815412,-0.831692
1980Q1,0.372678,-0.522083
1980Q2,-3.016246,0.487526
1980Q3,-0.558549,0.797135
1980Q4,0.636315,0.506744
1981Q1,1.291333,0.516354
1981Q2,-0.959849,0.459296
1981Q3,-0.182975,0.435572
1981Q4,-2.031695,1.245181
1982Q1,-2.146345,1.821457
1982Q2,-0.325847,2.397732
1982Q3,-1.427020,2.840675
1982Q4,-0.472998,3.583617
1983Q1,0.235358,3.259893
1983Q2,1.600061,3.002836
1983Q3,0.840394,2.212445
1983Q4,1.134724,1.355387
1984Q1,1.915873,0.664996
1984Q2,0.707406,0.207939
1984Q3,0.018960,0.184215
1984Q4,-0.211201,0.027157
1985Q1,0.564390,-0.063234
1985Q2,-0.020309,-0.020291
1985Q3,0.386711,-0.144016
1985Q4,0.103904,-0.334407
1986Q1,0.965020,-0.358131
1986Q2,-1.069449,-0.248522
1986Q3,-0.414718,-0.472246
1986Q4,-0.055611,-0.629303
1987Q1,0.641805,-0.886361
1987Q2,0.403708,-1.243419
1987Q3,0.380276,-1.533809
1987Q4,0.963758,-1.724200
