origin,model,h,forecast,actual
1990-01,AR,1,7.476565392788586,4.6966792
1990-01,factores,1,8.052434056802547,4.6966792
1990-01,ridge,1,6.761620203545615,4.6966792
1990-01,lasso,1,6.949070290467011,4.6966792
1990-01,bosque,1,6.010319992200795,4.6966792
1990-01,boosting,1,6.623034641415233,4.6966792
1990-02,AR,1,6.332600519252494,5.6118575
1990-02,factores,1,5.97178863231321,5.6118575
1990-02,ridge,1,6.720485702010739,5.6118575
1990-02,lasso,1,6.005890751174647,5.6118575
1990-02,bosque,1,4.882753755247817,5.6118575
1990-02,boosting,1,5.708493737926067,5.6118575
1990-03,AR,1,5.26184385953533,2.7961178
1990-03,factores,1,5.147310655724498,2.7961178
1990-03,ridge,1,4.030957773329619,2.7961178
1990-03,lasso,1,5.088304276855793,2.7961178
1990-03,bosque,1,4.335638641701076,2.7961178
1990-03,boosting,1,3.366428976244084,2.7961178
1990-04,AR,1,5.111804697690227,1.8604655
1990-04,factores,1,5.22558671239813,1.8604655
1990-04,ridge,1,5.422314660968134,1.8604655
1990-04,lasso,1,4.667566579294051,1.8604655
1990-04,bosque,1,4.0458730410767005,1.8604655
1990-04,boosting,1,4.416475400245715,1.8604655
1990-05,AR,1,3.1603726312091602,7.413151
1990-05,factores,1,3.350979193748368,7.413151
1990-05,ridge,1,5.547369198962935,7.413151
1990-05,lasso,1,3.5630052507475733,7.413151
1990-05,bosque,1,3.842665300873293,7.413151
1990-05,boosting,1,4.026341458181061,7.413151
1990-06,AR,1,5.2793498130699,5.5299637
1990-06,factores,1,4.506230134821709,5.5299637
1990-06,ridge,1,5.642266001155919,5.5299637
1990-06,lasso,1,5.306218847012895,5.5299637
1990-06,bosque,1,5.232650614102999,5.5299637
1990-06,boosting,1,6.069624775627607,5.5299637
1990-07,AR,1,5.396506428982061,10.072551
1990-07,factores,1,4.937523434567096,10.072551
1990-07,ridge,1,4.41909296388097,10.072551
1990-07,lasso,1,5.507997996796016,10.072551
1990-07,bosque,1,4.259242983738509,10.072551
1990-07,boosting,1,6.339144159543151,10.072551
1990-08,AR,1,6.911357388408596,8.1787518
1990-08,factores,1,6.979770458114983,8.1787518
1990-08,ridge,1,6.445783767382977,8.1787518
1990-08,lasso,1,6.557918512595492,8.1787518
1990-08,bosque,1,5.938095966151952,8.1787518
1990-08,boosting,1,7.227897353193995,8.1787518
1990-09,AR,1,7.907979351054643,8.1233857
1990-09,factores,1,7.601971693661358,8.1233857
1990-09,ridge,1,5.596100019399071,8.1233857
1990-09,lasso,1,6.994487262855531,8.1233857
1990-09,bosque,1,5.858815073617211,8.1233857
1990-09,boosting,1,6.283806660027192,8.1233857
1990-10,AR,1,7.334497802378349,2.6956208
1990-10,factores,1,6.898810185033545,2.6956208
1990-10,ridge,1,5.65152417614358,2.6956208
1990-10,lasso,1,6.585566066343419,2.6956208
1990-10,bosque,1,5.864946709155629,2.6956208
1990-10,boosting,1,6.4412470173316265,2.6956208
1990-11,AR,1,5.618048004015466,4.4792885
1990-11,factores,1,4.6545063945987835,4.4792885
1990-11,ridge,1,4.057354762440979,4.4792885
1990-11,lasso,1,5.070466164767367,4.4792885
1990-11,bosque,1,3.847885848494311,4.4792885
1990-11,boosting,1,3.314188331778479,4.4792885
1990-12,AR,1,4.725234704328632,4.4626307
1990-12,factores,1,3.950054554673816,4.4626307
1990-12,ridge,1,3.887196217364841,4.4626307
1990-12,lasso,1,4.532537723502217,4.4626307
1990-12,bosque,1,4.008645986493576,4.4626307
1990-12,boosting,1,4.362230805807281,4.4626307
1991-01,AR,1,5.008462025885648,0.89053807
1991-01,factores,1,4.79549948394005,0.89053807
1991-01,ridge,1,3.1712002593795594,0.89053807
1991-01,lasso,1,4.752356317849342,0.89053807
1991-01,bosque,1,3.9894221219911916,0.89053807
1991-01,boosting,1,3.6366190255117488,0.89053807
1991-02,AR,1,2.8390385424758113,0.0
1991-02,factores,1,1.2931327130062804,0.0
1991-02,ridge,1,2.535261750251295,0.0
1991-02,lasso,1,3.3344529246186836,0.0
1991-02,bosque,1,2.420866565129529,0.0
1991-02,boosting,1,0.6581382047163644,0.0
1991-03,AR,1,1.8266054577712523,2.6676558
1991-03,factores,1,1.7240212061665963,2.6676558
1991-03,ridge,1,3.669333841251853,2.6676558
1991-03,lasso,1,2.4035887485409755,2.6676558
1991-03,bosque,1,3.2390221767553826,2.6676558
1991-03,boosting,1,3.601143747800111,2.6676558
1991-04,AR,1,2.624076047954497,4.4329566
1991-04,factores,1,2.2139987431597654,4.4329566
1991-04,ridge,1,3.4861541537451615,4.4329566
1991-04,lasso,1,3.049772586678627,4.4329566
1991-04,bosque,1,3.156316400823012,4.4329566
1991-04,boosting,1,2.8454409919134207,4.4329566
1991-05,AR,1,3.5166861206192706,3.5346123
1991-05,factores,1,2.879319987770469,3.5346123
1991-05,ridge,1,2.968118813136581,3.5346123
1991-05,lasso,1,3.903425216525978,3.5346123
1991-05,bosque,1,3.818469698742139,3.5346123
1991-05,boosting,1,3.059926014559229,3.5346123
1991-06,AR,1,3.527244922114011,1.7634096
1991-06,factores,1,2.8284738741948505,1.7634096
1991-06,ridge,1,2.558582614966859,1.7634096
