date,gdp,inf,mpr
1994Q1,12.779675,33.634102,16.808262
1994Q2,12.157981,25.697483,15.100092
1994Q3,10.840711,20.730697,14.443009
1994Q4,13.465973,16.985342,14.967756
1995Q1,9.007286,12.851451,15.220413
1995Q2,8.575443,11.255579,19.091613
1995Q3,8.208642,10.296914,17.715437
1995Q4,4.007882,10.266083,9.643333
1996Q1,1.277814,11.480091,11.240000
1996Q2,2.362483,11.297855,12.743333
1996Q3,2.616883,11.784883,12.423333
1996Q4,4.911486,11.622786,16.020000
1997Q1,5.179629,9.899408,15.173333
1997Q2,8.230561,9.025604,12.800000
1997Q3,6.404664,8.378491,10.493333
1997Q4,5.981782,6.999594,12.746667
1998Q1,2.227753,7.747443,14.520000
1998Q2,-3.039298,8.109612,16.346667
1998Q3,0.441563,7.172526,28.563333
1998Q4,-0.900212,6.036007,16.393333
1999Q1,-0.528761,4.183904,19.673333
1999Q2,1.907142,3.161904,13.506667
1999Q3,-0.595640,2.785737,9.406667
1999Q4,5.099208,3.768769,17.733333
2000Q1,6.756250,3.873379,12.170000
2000Q2,4.931338,3.447473,14.383333
2000Q3,2.680012,3.710886,11.010000
2000Q4,-3.177518,4.001129,13.316667
2001Q1,-5.330526,3.683259,10.694186
2001Q2,0.301282,2.587177,13.732080
2001Q3,2.742307,1.465562,6.637521
2001Q4,4.782608,0.222852,3.723397
2002Q1,6.525020,-1.010751,2.600000
2002Q2,6.633736,0.073275,2.533333
2002Q3,4.071136,0.266336,3.746789
2002Q4,4.636279,1.444034,4.113330
2003Q1,5.643193,2.827617,3.790000
2003Q2,4.646750,2.393374,3.786667
2003Q3,3.676659,1.948661,3.083333
2003Q4,2.779450,1.885406,2.606667
2004Q1,4.574384,2.993004,2.470000
2004Q2,3.737932,3.406169,2.476667
2004Q3,4.284058,4.409293,2.613333
2004Q4,7.276170,3.834621,2.983333
2005Q1,5.626103,2.194105,2.936667
2005Q2,5.426775,1.764946,3.010000
2005Q3,6.467693,1.244141,2.986667
2005Q4,7.597287,1.279184,3.133333
2006Q1,8.283806,2.366651,3.840000
2006Q2,6.329469,2.318814,4.476667
2006Q3,8.294597,1.803647,4.483333
2006Q4,7.324218,1.520916,4.496667
2007Q1,5.286800,0.414723,4.486667
2007Q2,6.333116,0.799879,4.506667
2007Q3,10.841598,2.403900,4.810000
2007Q4,11.424369,3.497135,4.986667
2008Q1,10.145578,4.839792,4.890000
2008Q2,10.532292,5.539419,5.526287
2008Q3,9.579485,6.094020,6.183047
2008Q4,6.484199,6.645813,6.560667
2009Q1,2.594045,5.592657,6.360668
2009Q2,-0.733583,3.964737,4.241480
2009Q3,-0.100545,1.915116,1.591033
2009Q4,2.728253,0.414459,1.204687
2010Q1,5.482426,0.675377,1.149293
2010Q2,9.415310,1.149332,1.428600
2010Q3,9.569319,2.165526,2.339333
2010Q4,8.667813,2.129679,2.965967
2011Q1,8.413858,2.357027,3.425400
2011Q2,5.284639,3.104169,4.159800
2011Q3,5.811550,3.474958,4.253867
2011Q4,6.014222,4.527090,4.255333
2012Q1,6.110615,4.207569,4.235733
2012Q2,5.894236,4.073414,4.238300
2012Q3,7.020490,3.514874,4.232967
2012Q4,5.556981,2.851849,4.243667
2013Q1,4.978228,2.636476,4.197667
2013Q2,6.264025,2.514149,4.238400
2013Q3,5.226647,3.115450,4.372233
2013Q4,6.844103,2.951062,4.173267
2014Q1,4.955343,3.407759,4.102700
2014Q2,1.958922,3.509423,4.002600
2014Q3,1.823190,2.917402,3.768467
2014Q4,1.068663,3.157055,3.655433
2015Q1,1.930844,2.953893,3.375700
2015Q2,3.176025,3.309852,3.473067
2015Q3,3.155748,3.836676,3.579600
2015Q4,4.617231,4.076937,3.595333
2016Q1,4.479017,4.460619,4.464633
2016Q2,3.735481,3.595619,4.423300
2016Q3,4.611842,3.010458,4.241400
2016Q4,3.069715,3.329707,4.304900
2017Q1,2.283021,3.441600,4.248667
2017Q2,2.648108,3.155081,4.122933
2017Q3,2.814688,2.990425,3.726933
2017Q4,2.322598,1.649085,3.370700
2018Q1,3.170064,0.929153,2.971633
2018Q2,5.598320,0.947388,2.764833
2018Q3,2.438813,1.321666,2.746400
2018Q4,4.612642,2.066755,2.758767
2019Q1,2.388532,2.126855,2.752533
2019Q2,1.142215,2.537244,2.765033
2019Q3,3.389604,2.000737,2.606900
2019Q4,2.078941,1.882495,2.351000
2020Q1,-3.530444,1.871181,2.110233
2020Q2,-30.003053,1.701732,0.341300
2020Q3,-8.615498,1.789535,0.151067
2020Q4,-1.292182,1.946581,0.221600
2021Q1,4.203443,2.558388,0.214800
2021Q2,42.028579,2.694969,0.249667
2021Q3,11.679628,4.665603,0.504133
2021Q4,3.402814,5.970840,1.753867
2022Q1,3.904955,6.220149,3.405133
2022Q2,3.417336,8.290668,4.874900
2022Q3,2.049586,8.555589,6.282233
2022Q4,2.014928,8.394173,7.209333
2023Q1,-0.134585,8.569323,7.713567
2023Q2,-0.462385,7.435602,7.736100
2023Q3,-0.683926,5.499129,7.698567
2023Q4,-0.317169,3.736617,7.076100
2024Q1,1.371739,3.120790,6.399233
2024Q2,3.610924,2.237246,5.892167
2024Q3,3.853191,1.978727,5.529500
2024Q4,4.213335,2.082295,5.087533
2025Q1,3.884055,1.533913,4.743567
2025Q2,2.824410,1.677401,4.579798
