date,gdp_sa,cpi,fx,mpr
1996-01,,42.252231,2.347159,
1996-02,,42.900284,2.353595,
1996-03,,43.492376,2.355286,
1996-04,,43.871304,2.363875,
1996-05,,44.190466,2.409136,
1996-06,,44.396162,2.439350,
1996-07,,45.006166,2.444364,
1996-08,,45.422177,2.465357,
1996-09,,45.569402,2.490405,
1996-10,,45.904134,2.553705,
1996-11,,46.118954,2.583200,
1996-12,,46.674943,2.583381,
1997-01,,46.899505,2.625250,
1997-02,,46.941214,2.638125,
1997-03,,47.539255,2.633158,
1997-04,,47.723350,2.660864,
1997-05,,48.083716,2.663667,
1997-06,,48.605995,2.655643,
1997-07,,49.008795,2.651619,
1997-08,,49.119921,2.653674,
1997-09,,49.263586,2.644068,
1997-10,,49.338231,2.662591,
1997-11,,49.376541,2.719700,
1997-12,,49.691558,2.716405,
1998-01,,50.141917,2.744262,
1998-02,,50.760967,2.798225,
1998-03,,51.430423,2.805659,
1998-04,,51.744718,2.818650,
1998-05,,52.051804,2.842775,
1998-06,,52.327878,2.906024,
1998-07,,52.656532,2.918762,
1998-08,,52.795776,2.960333,
1998-09,,52.511746,3.041114,
1998-10,,52.335901,3.048675,
1998-11,,52.351818,3.091357,
1998-12,,52.676427,3.134071,
1999-01,,52.683812,3.247300,
1999-02,,52.849741,3.394475,
1999-03,,53.173233,3.378217,
1999-04,,53.486786,3.347950,
1999-05,,53.738800,3.331000,
1999-06,,53.835319,3.337738,
1999-07,,53.977033,3.322550,
1999-08,,54.069388,3.361405,
1999-09,,54.318095,3.418136,
1999-10,,54.252496,3.472375,
1999-11,,54.402980,3.481690,
1999-12,,54.639363,3.483841,
2000-01,,54.677231,3.499452,
2000-02,,54.939753,3.455952,
2000-03,,55.237118,3.442870,
2000-04,,55.519709,3.478889,
2000-05,,55.529015,3.503318,
2000-06,,55.564712,3.487024,
2000-07,,55.851605,3.480325,
2000-08,,56.113025,3.477545,
2000-09,,56.425048,3.484929,
2000-10,,56.556330,3.500341,
2000-11,,56.592421,3.528476,
2000-12,,56.679726,3.519579,
2001-01,,56.786104,3.522682,
2001-02,,56.925436,3.528450,
2001-03,,57.214566,3.519795,
2001-04,,56.976363,3.558737,
2001-05,,56.990194,3.600045,
2001-06,,56.957463,3.530757,
2001-07,,57.055857,3.503310,
2001-08,,56.882989,3.491590,
2001-09,,56.918688,3.490025,
2001-10,,56.940019,3.460068,
2001-11,,56.659381,3.439575,
2001-12,,56.607543,3.435360,
2002-01,,56.313226,3.459500,
2002-02,,56.291082,3.476600,
2002-03,,56.594161,3.456237,
2002-04,,57.006912,3.438818,
2002-05,,57.086049,3.451409,
2002-06,,56.956304,3.480666,
2002-07,,56.975845,3.532976,
2002-08,,57.033330,3.570119,
2002-09,,57.303414,3.619024,
2002-10,,57.714831,3.614995,
2002-11,,57.484334,3.583275,
2002-12,,57.465625,3.514238,
2003-01,74.997752,57.598612,3.493955,
2003-02,75.879351,57.868648,3.483950,
2003-03,76.066410,58.515493,3.479160,
2003-04,76.688140,58.485733,3.464625,
2003-05,76.860589,58.467003,3.481148,
2003-06,77.851425,58.190379,3.478762,
2003-07,77.416037,58.103549,3.471405,
2003-08,78.129910,58.111367,3.480262,
2003-09,78.347351,58.435976,3.480864,2.750000
2003-10,78.908142,58.464629,3.478205,2.750000
2003-11,75.209304,58.562665,3.477750,2.500000
2003-12,75.752133,58.892929,3.471286,2.500000
2004-01,78.091980,59.209448,3.467167,2.500000
2004-02,78.939324,59.852513,3.483500,2.500000
2004-03,79.857177,60.128103,3.465085,2.500000
2004-04,80.332059,60.114412,3.469650,2.500000
2004-05,80.277225,60.327123,3.487238,2.500000
2004-06,80.142937,60.667252,3.477167,2.500000
2004-07,80.552120,60.784405,3.441300,2.500000
2004-08,81.067296,60.778606,3.395452,2.750000
2004-09,81.977566,60.788750,3.357591,2.750000
2004-10,81.847518,60.774314,3.321025,3.000000
2004-11,81.527169,60.948742,3.310167,3.000000
2004-12,82.722797,60.943040,3.281068,3.000000
2005-01,83.076186,61.004074,3.268214,3.000000
2005-02,84.744379,60.860946,3.258825,3.000000
2005-03,82.438317,61.256661,3.259310,3.000000
2005-04,84.537969,61.329449,3.257950,3.000000
2005-05,85.404729,61.406927,3.254881,3.000000
2005-06,85.286357,61.568883,3.252762,3.000000
2005-07,85.944411,61.633291,3.252053,3.000000
2005-08,85.679120,61.522594,3.257341,3.000000
2005-09,86.524571,61.464591,3.307523,3.000000
2005-10,87.123429,61.553580,3.380786,3.000000
2005-11,89.087553,61.595464,3.376071,3.000000
2005-12,87.912113,61.853687,3.424286,3.250000
2006-01,89.605727,62.162714,3.393295,3.500000
2006-02,89.948124,62.503538,3.288725,3.750000
2006-03,91.626607,62.789281,3.339326,4.000000
2006-04,90.831663,63.109511,3.331528,4.250000
2006-05,90.974654,62.776323,3.279041,4.500000
2006-06,91.880391,62.693121,3.264064,4.500000
2006-07,91.539418,62.586267,3.243100,4.500000
2006-08,93.250601,62.673478,3.234386,4.500000
2006-09,92.604115,62.690631,3.247738,4.500000
2006-10,93.601306,62.718083,3.237455,4.500000
2006-11,93.695775,62.541121,3.222095,4.500000
2006-12,94.634347,62.557264,3.205316,4.500000
2007-01,96.170448,62.563161,3.192500,4.500000
