date,gdp_nsa
1996Q1,47884.625435
1996Q2,51913.680284
1996Q3,50072.600789
1996Q4,51138.383215
1997Q1,50364.871465
1997Q2,56186.467577
1997Q3,53279.582554
1997Q4,54197.369792
1998Q1,51486.876291
1998Q2,54478.793178
1998Q3,53514.845547
1998Q4,53709.478377
1999Q1,51214.633637
1999Q2,55517.781013
1999Q3,53196.089808
1999Q4,56448.236172
2000Q1,54674.822376
2000Q2,58255.550705
2000Q3,54621.751135
2000Q4,54654.583132
2001Q1,51760.366976
2001Q2,58431.064091
2001Q3,56119.647311
2001Q4,57268.497372
2002Q1,55137.741199
2002Q2,62307.226783
2002Q3,58404.354465
2002Q4,59923.624681
2003Q1,58249.270141
2003Q2,65202.488111
2003Q3,60551.683473
2003Q4,61589.172028
2004Q1,60913.815575
2004Q2,67639.712867
2004Q3,63145.752851
2004Q4,66070.504941
2005Q1,64340.889413
2005Q2,71310.367620
2005Q3,67229.826187
2005Q4,71090.070667
2006Q1,69670.764069
2006Q2,75823.935494
2006Q3,72806.269064
2006Q4,76296.862183
2007Q1,73354.118000
2007Q2,80625.953000
2007Q3,80699.632000
2007Q4,85013.297000
2008Q1,80796.311095
2008Q2,89117.714000
2008Q3,88430.241000
2008Q4,90525.733950
2009Q1,82892.208145
2009Q2,88463.962000
2009Q3,88341.329000
2009Q4,92995.500906
2010Q1,87436.717180
2010Q2,96793.118000
2010Q3,96794.993000
2010Q4,101056.171820
2011Q1,94793.522293
2011Q2,101908.285000
2011Q3,102420.282000
2011Q4,107133.910718
2012Q1,100585.981363
2012Q2,107914.996000
2012Q3,109610.688000
2012Q4,113087.334674
2013Q1,105593.393451
2013Q2,114674.824000
2013Q3,115339.651000
2013Q4,120827.131581
2014Q1,110825.894513
2014Q2,116921.198000
2014Q3,117442.512000
2014Q4,122118.395570
2015Q1,112965.837536
2015Q2,120634.696000
2015Q3,121148.702000
2015Q4,127756.764477
2016Q1,118025.323591
2016Q2,125140.772000
2016Q3,126735.902000
2016Q4,131679.002424
2017Q1,120720.841671
2017Q2,128455.461000
2017Q3,130303.087000
2017Q4,134735.610401
2018Q1,124544.027719
2018Q2,135643.668000
2018Q3,133481.059000
2018Q4,140957.245326
2019Q1,127532.946748
2019Q2,137204.789000
2019Q3,138005.247000
2019Q4,143862.017305
2020Q1,122974.622805
2020Q2,95975.848000
2020Q3,126016.233000
2020Q4,141876.296288
2021Q1,128175.738787
2021Q2,136362.095000
2021Q3,140832.370000
2021Q4,146790.796253
2022Q1,133215.627842
2022Q2,141045.790000
2022Q3,143727.943000
2022Q4,149732.639230
2023Q1,133188.255831
2023Q2,140469.188000
2023Q3,142835.030000
2023Q4,149238.526247
2024Q1,135172.356865
2024Q2,145885.276000
2024Q3,148691.984000
2024Q4,155868.383158
2025Q1,140592.187352
2025Q2,149867.872719
2025Q3,154199.554955
2025Q4,161048.431148
2026Q1,145603.618609
2026Q2,153715.315457
