date,unemp,infl,ff
1960Q1,5.133333,0.908472,3.933333
1960Q2,5.233333,1.810777,3.696667
1960Q3,5.533333,1.622720,2.936667
1960Q4,6.266667,1.795335,2.296667
1961Q1,6.800000,0.537033,2.003333
1961Q2,7.000000,0.714924,1.733333
1961Q3,6.766667,0.891862,1.683333
1961Q4,6.200000,1.067616,2.400000
1962Q1,5.633333,2.303439,2.456667
1962Q2,5.533333,1.234841,2.606667
1962Q3,5.566667,1.055410,2.846667
1962Q4,5.533333,1.227802,2.923333
1963Q1,5.766667,1.573085,2.966667
1963Q2,5.733333,0.348736,2.963333
1963Q3,5.500000,0.522534,3.330000
1963Q4,5.566667,2.429509,3.453333
1964Q1,5.466667,1.381694,3.463333
1964Q2,5.200000,1.205079,3.490000
1964Q3,5.000000,2.057441,3.456667
1964Q4,4.966667,1.706487,3.576667
1965Q1,4.900000,1.868765,3.973333
1965Q2,4.666667,1.860075,4.076667
1965Q3,4.366667,1.683504,4.073333
1965Q4,4.100000,2.678955,4.166667
1966Q1,3.866667,2.329457,4.556667
1966Q2,3.833333,3.633386,4.913333
1966Q3,3.766667,3.926412,5.410000
1966Q4,3.700000,3.565664,5.563333
1967Q1,3.833333,1.770983,4.823333
1967Q2,3.833333,2.562058,3.990000
1967Q3,3.800000,3.654444,3.893333
1967Q4,3.900000,4.404291,4.173333
1968Q1,3.733333,4.511034,4.786667
1968Q2,3.566667,4.460727,5.980000
1968Q3,3.533333,3.654384,5.943333
1968Q4,3.400000,5.569234,5.916667
1969Q1,3.400000,3.867639,6.566667
1969Q2,3.433333,5.440260,8.326667
1969Q3,3.566667,5.799304,8.983333
1969Q4,3.566667,5.148444,8.940000
1970Q1,4.166667,5.503703,8.573333
1970Q2,4.766667,5.567244,7.880000
1970Q3,5.166667,3.166425,6.703333
1970Q4,5.833333,5.177184,5.566667
1971Q1,5.933333,6.045455,3.856667
1971Q2,5.900000,5.298091,4.563333
1971Q3,6.033333,4.058290,5.473333
1971Q4,5.933333,3.243086,4.750000
1972Q1,5.766667,5.899434,3.540000
1972Q2,5.700000,2.411557,4.300000
1972Q3,5.566667,3.903699,4.740000
1972Q4,5.366667,4.733783,5.143333
1973Q1,4.933333,5.289943,6.536667
1973Q2,4.933333,6.545601,7.816667
1973Q3,4.800000,7.503570,10.560000
1973Q4,4.766667,6.785773,9.996667
1974Q1,5.133333,8.039317,9.323333
1974Q2,5.200000,8.883007,11.250000
1974Q3,5.633333,12.049104,12.090000
1974Q4,6.600000,12.010999,9.346667
1975Q1,8.266667,9.110125,6.303333
1975Q2,8.866667,5.590232,5.420000
1975Q3,8.466667,7.201995,6.160000
1975Q4,8.300000,6.879776,5.413333
1976Q1,7.733333,4.264639,4.826667
1976Q2,7.566667,4.219651,5.196667
1976Q3,7.733333,5.495112,5.283333
1976Q4,7.766667,6.903156,4.873333
1977Q1,7.500000,6.604140,4.660000
1977Q2,7.133333,6.496872,5.156667
1977Q3,6.900000,5.599469,5.820000
1977Q4,6.666667,6.652232,6.513333
1978Q1,6.333333,6.714167,6.756667
1978Q2,6.000000,7.860792,7.283333
1978Q3,6.033333,7.051930,8.100000
1978Q4,5.900000,7.979096,9.583333
1979Q1,5.866667,7.664905,10.073333
1979Q2,5.700000,8.992657,10.180000
1979Q3,5.866667,8.113558,10.946667
1979Q4,5.966667,8.026523,13.576667
1980Q1,6.300000,8.959435,15.046667
1980Q2,7.333333,9.118227,12.686667
1980Q3,7.666667,8.914996,9.836667
1980Q4,7.400000,10.550363,15.853333
1981Q1,7.433333,10.081482,16.570000
1981Q2,7.400000,7.057853,17.780000
1981Q3,7.400000,7.698714,17.576667
1981Q4,8.233333,7.241441,13.586667
1982Q1,8.833333,5.577162,14.226667
1982Q2,9.433333,5.136115,14.513333
1982Q3,9.900000,5.490696,11.006667
1982Q4,10.666667,4.113607,9.286667
1983Q1,10.366667,3.190092,8.653333
1983Q2,10.133333,3.573283,8.803333
1983Q3,9.366667,3.368196,9.460000
1983Q4,8.533333,3.340071,9.430000
1984Q1,7.866667,4.788428,9.686667
1984Q2,7.433333,3.329355,10.556667
1984Q3,7.433333,3.134637,11.390000
1984Q4,7.300000,2.778175,9.266667
1985Q1,7.233333,4.241004,8.476667
1985Q2,7.300000,2.621170,7.923333
1985Q3,7.200000,2.117125,7.900000
1985Q4,7.033333,2.805515,8.103333
1986Q1,7.033333,1.556109,7.826667
1986Q2,7.166667,1.870036,6.920000
1986Q3,6.966667,2.497517,6.206667
1986Q4,6.833333,2.850368,6.266667
1987Q1,6.600000,3.560699,6.220000
1987Q2,6.266667,2.805206,6.650000
1987Q3,6.000000,2.888472,6.843333
1987Q4,5.833333,3.224792,6.916667
1988Q1,5.700000,2.692929,6.663333
1988Q2,5.466667,4.030768,7.156667
1988Q3,5.466667,4.684828,7.983333
1988Q4,5.333333,3.109399,8.470000
1989Q1,5.200000,4.108620,9.443333
1989Q2,5.233333,3.970496,9.726667
1989Q3,5.233333,2.880473,9.083333
1989Q4,5.366667,2.954857,8.613333
1990Q1,5.300000,4.485675,8.250000
1990Q2,5.333333,4.575213,8.243333
1990Q3,5.700000,3.834412,8.160000
1990Q4,6.133333,3.479079,7.743333
1991Q1,6.600000,4.622233,6.426667
1991Q2,6.833333,2.828453,5.863333
1991Q3,6.866667,2.586408,5.643333
1991Q4,7.100000,2.127900,4.816667
1992Q1,7.366667,3.039160,4.023333
1992Q2,7.600000,2.275219,3.770000
1992Q3,7.633333,1.306764,3.256667
1992Q4,7.366667,2.514368,3.036667
1993Q1,7.133333,3.313807,3.040000
1993Q2,7.066667,2.137214,3.000000
1993Q3,6.800000,1.828915,3.060000
1993Q4,6.633333,2.242799,2.990000
1994Q1,6.566667,2.062403,3.213333
1994Q2,6.200000,1.842935,3.940000
1994Q3,6.000000,2.374883,4.486667
1994Q4,5.633333,1.864998,5.166667
1995Q1,5.466667,2.924983,5.810000
1995Q2,5.666667,1.679384,6.020000
1995Q3,5.666667,1.835146,5.796667
1995Q4,5.566667,1.948253,5.720000
1996Q1,5.533333,2.462291,5.363333
1996Q2,5.500000,1.365875,5.243333
1996Q3,5.266667,1.960298,5.306667
1996Q4,5.333333,1.593152,5.280000
1997Q1,5.233333,2.891245,5.276667
1997Q2,5.000000,1.811205,5.523333
1997Q3,4.866667,1.176818,5.533333
1997Q4,4.666667,1.446656,5.506667
1998Q1,4.633333,1.052376,5.520000
1998Q2,4.433333,1.010789,5.500000
1998Q3,4.533333,1.395350,5.533333
1998Q4,4.433333,1.081917,4.860000
1999Q1,4.266667,1.694265,4.733333
1999Q2,4.300000,1.342605,4.746667
1999Q3,4.233333,1.376280,5.093333
1999Q4,4.100000,1.789712,5.306667
2000Q1,4.033333,3.668536,5.680000
2000Q2,4.000000,2.102699,6.273333
2000Q3,4.066667,1.868115,6.520000
2000Q4,3.966667,1.748108,6.473333
