date,y,pi,comm,res,nbres,ff
1965-01,8.257182,2.923324,20.187380,2.480899,2.455564,3.900000
1965-02,8.258692,2.921399,20.179612,2.475109,2.440519,3.980000
1965-03,8.266972,2.922502,20.158073,2.475193,2.439909,4.040000
1965-04,8.268584,2.923621,20.160403,2.488484,2.448502,4.090000
1965-05,8.274191,2.926784,20.157975,2.477546,2.435103,4.100000
1965-06,8.280793,2.930337,20.139978,2.485323,2.439473,4.040000
1965-07,8.289831,2.930503,20.129060,2.490972,2.446166,4.090000
1965-08,8.294963,2.929701,20.144819,2.491468,2.445039,4.120000
1965-09,8.299133,2.932415,20.148659,2.490806,2.443824,4.010000
1965-10,8.310220,2.934652,20.137868,2.494692,2.453588,4.080000
1965-11,8.315745,2.938139,20.141588,2.492130,2.455735,4.100000
1965-12,8.327765,2.940081,20.168013,2.510899,2.474183,4.320000
1966-01,8.337079,2.940942,20.190134,2.509193,2.474435,4.420000
1966-02,8.341093,2.944192,20.195218,2.500862,2.460529,4.600000
1966-03,8.348811,2.947069,20.194451,2.498481,2.451350,4.650000
1966-04,8.343762,2.949163,20.200599,2.506179,2.452814,4.670000
1966-05,8.347248,2.951871,20.205799,2.506587,2.448848,4.900000
1966-06,8.348270,2.955706,20.224406,2.506016,2.446599,5.170000
1966-07,8.351631,2.958105,20.246306,2.515355,2.453502,5.300000
1966-08,8.351003,2.962754,20.226171,2.498563,2.436241,5.530000
1966-09,8.357984,2.964880,20.171046,2.503810,2.438863,5.400000
1966-10,8.363003,2.968824,20.140071,2.501354,2.439299,5.530000
1966-11,8.358487,2.970021,20.141975,2.501846,2.450833,5.760000
1966-12,8.364746,2.972242,20.162979,2.503319,2.458734,5.400000
1967-01,8.375683,2.972003,20.155241,2.512360,2.478553,4.940000
1967-02,8.370292,2.975714,20.156391,2.507972,2.477882,5.000000
1967-03,8.367666,2.975804,20.158143,2.520756,2.504464,4.530000
1967-04,8.375780,2.978506,20.143513,2.524768,2.513008,4.050000
1967-05,8.369250,2.978123,20.148738,2.519147,2.511954,3.940000
1967-06,8.371253,2.982023,20.147656,2.522283,2.513737,3.980000
1967-07,8.372454,2.985945,20.124761,2.543333,2.534252,3.790000
1967-08,8.387909,2.988873,20.106228,2.539868,2.533538,3.900000
1967-09,8.381635,2.992352,20.127104,2.553032,2.546159,3.990000
1967-10,8.379791,2.994846,20.137988,2.571696,2.561791,3.880000
1967-11,8.388107,3.001062,20.157608,2.574976,2.564872,4.130000
1967-12,8.398119,3.004139,20.184206,2.578701,2.561250,4.510000
1968-01,8.402408,3.007510,20.185501,2.583167,2.564411,4.600000
1968-02,8.409386,3.011015,20.176165,2.579307,2.550616,4.710000
1968-03,8.414586,3.014655,20.175102,2.579156,2.527886,5.050000
1968-04,8.416981,3.017678,20.164440,2.573909,2.520274,5.760000
1968-05,8.427740,3.021242,20.164375,2.574900,2.516809,6.110000
1968-06,8.431901,3.025702,20.146754,2.584073,2.530278,6.070000
1968-07,8.431461,3.029205,20.136178,2.599351,2.559396,6.020000
1968-08,8.433019,3.031257,20.141894,2.598235,2.555287,6.030000
1968-09,8.433691,3.033700,20.155955,2.597863,2.559628,5.780000
1968-10,8.431043,3.041291,20.161374,2.604836,2.571543,5.910000
1968-11,8.439478,3.044642,20.186403,2.613666,2.572918,5.820000
1968-12,8.440912,3.050327,20.194021,2.622274,2.566563,6.020000
1969-01,8.446391,3.051827,20.190462,2.612200,2.556685,6.300000
1969-02,8.452144,3.054424,20.187552,2.618417,2.555598,6.610000
1969-03,8.459131,3.060962,20.185705,2.613959,2.545610,6.790000
1969-04,8.455923,3.065340,20.196723,2.600539,2.523165,7.410000
1969-05,8.451989,3.067537,20.201394,2.627852,2.523326,8.670000
1969-06,8.459368,3.072524,20.196015,2.624306,2.518503,8.900000
1969-07,8.462188,3.078509,20.183955,2.602023,2.504628,8.610000
1969-08,8.462654,3.081701,20.188557,2.623508,2.530915,9.190000
1969-09,8.461150,3.087015,20.197519,2.626262,2.544982,9.150000
1969-10,8.460376,3.091298,20.209467,2.632177,2.545845,9.000000
1969-11,8.454453,3.094782,20.211936,2.651268,2.562562,8.850000
1969-12,8.458128,3.099550,20.197920,2.650986,2.568712,8.970000
1970-01,8.451343,3.103522,20.204580,2.645252,2.574747,8.980000
1970-02,8.457170,3.109587,20.188425,2.646104,2.566410,8.980000
1970-03,8.459210,3.114312,20.178713,2.644116,2.578169,7.760000
1970-04,8.456939,3.119746,20.183721,2.653876,2.592565,8.100000
1970-05,8.457675,3.122518,20.176173,2.639557,2.568022,7.940000
1970-06,8.458416,3.126668,20.173088,2.644613,2.579990,7.600000
1970-07,8.465811,3.128854,20.175382,2.650350,2.549367,7.210000
1970-08,8.468343,3.131230,20.210421,2.659000,2.598607,6.610000
1970-09,8.465311,3.133453,20.221549,2.670487,2.628069,6.290000
1970-10,8.449867,3.138525,20.208021,2.672768,2.640271,6.200000
1970-11,8.447635,3.143444,20.206247,2.672078,2.642978,5.600000
1970-12,8.470776,3.150838,20.203308,2.678141,2.655001,4.900000
1971-01,8.482387,3.156431,20.200727,2.681295,2.656055,4.140000
1971-02,8.483250,3.158639,20.194909,2.695910,2.673321,3.720000
1971-03,8.482106,3.163314,20.173063,2.694492,2.672699,3.710000
1971-04,8.483849,3.167531,20.179496,2.691853,2.681432,4.150000
1971-05,8.487664,3.172575,20.186117,2.706849,2.687711,4.630000
1971-06,8.493241,3.177485,20.192792,2.711843,2.678553,4.910000
1971-07,8.495357,3.181318,20.173504,2.716349,2.660399,5.310000
1971-08,8.491206,3.182015,20.173503,2.720637,2.665838,5.560000
1971-09,8.501502,3.184668,20.158173,2.735860,2.703239,5.550000
1971-10,8.500804,3.187367,20.155341,2.722019,2.698269,5.200000
1971-11,8.496996,3.190900,20.153556,2.724383,2.698942,4.910000
1971-12,8.498978,3.194630,20.184475,2.723267,2.714960,4.140000
1972-01,8.511285,3.202302,20.216610,2.732352,2.730920,3.500000
1972-02,8.515735,3.207845,20.225776,2.731962,2.729877,3.290000
1972-03,8.522726,3.209156,20.250454,2.739549,2.733198,3.830000
1972-04,8.536557,3.210870,20.272756,2.750535,2.743031,4.170000
1972-05,8.539154,3.212238,20.296146,2.756142,2.749064,4.270000
1972-06,8.542728,3.214496,20.279491,2.766885,2.760579,4.460000
1972-07,8.541955,3.218249,20.298855,2.762223,2.747079,4.550000
1972-08,8.550921,3.221215,20.333310,2.773214,2.748744,4.800000
1972-09,8.553049,3.226134,20.345083,2.772589,2.738191,4.870000
1972-10,8.558485,3.231179,20.360739,2.784579,2.749640,5.040000
1972-11,8.564302,3.235383,20.388309,2.799778,2.762096,5.060000
1972-12,8.572540,3.236968,20.455792,2.812110,2.746950,5.330000
1973-01,8.578719,3.241338,20.479368,2.815888,2.743932,5.940000
1973-02,8.593411,3.246268,20.493739,2.816247,2.716018,6.580000
1973-03,8.596156,3.250561,20.537061,2.828674,2.714629,7.090000
1973-04,8.597975,3.256017,20.568724,2.817263,2.709383,7.120000
1973-05,8.603534,3.260507,20.653371,2.813731,2.696585,7.840000
1973-06,8.600659,3.266952,20.703953,2.818159,2.701026,8.490000
1973-07,8.597633,3.271866,20.780438,2.832507,2.710381,10.400000
1973-08,8.591295,3.281385,20.966097,2.821141,2.683143,10.500000
1973-09,8.596910,3.286942,21.001993,2.817502,2.700220,10.780000
1973-10,8.602710,3.294805,20.977529,2.828733,2.737480,10.010000
1973-11,8.606793,3.298804,20.939118,2.831918,2.746309,10.030000
1973-12,8.604181,3.305736,21.015448,2.834448,2.755125,9.950000
1974-01,8.597209,3.311080,21.063491,2.846188,2.783220,9.650000
1974-02,8.595021,3.317920,21.095466,2.840539,2.768392,8.970000
1974-03,8.596448,3.326777,21.065400,2.840890,2.761085,9.350000
1974-04,8.596115,3.331608,21.052620,2.850591,2.744768,10.510000
1974-05,8.602198,3.341166,21.043766,2.857791,2.696854,11.310000
1974-06,8.598218,3.353465,21.078548,2.854572,2.664516,11.930000
1974-07,8.592386,3.357794,21.123699,2.861401,2.652185,12.920000
1974-08,8.583894,3.369454,21.136619,2.855953,2.642978,12.010000
1974-09,8.591013,3.384579,21.132824,2.855608,2.646317,11.340000
1974-10,8.600162,3.391764,21.199309,2.853535,2.743160,10.060000
1974-11,8.584818,3.398853,21.291459,2.859512,2.785073,9.450000
1974-12,8.570136,3.408402,21.185033,2.865054,2.822747,8.530000
1975-01,8.576373,3.415060,21.098621,2.849145,2.825774,7.130000
1975-02,8.570770,3.422626,21.047877,2.849029,2.840423,6.240000
