date,gdp,gdp_nsa
1947Q1,2182.681000,
1947Q2,2176.892000,
1947Q3,2172.432000,
1947Q4,2206.452000,
1948Q1,2239.682000,
1948Q2,2276.690000,
1948Q3,2289.770000,
1948Q4,2292.364000,
1949Q1,2260.807000,
1949Q2,2253.128000,
1949Q3,2276.424000,
1949Q4,2257.352000,
1950Q1,2346.104000,
1950Q2,2417.682000,
1950Q3,2511.127000,
1950Q4,2559.214000,
1951Q1,2593.967000,
1951Q2,2638.898000,
1951Q3,2693.259000,
1951Q4,2699.156000,
1952Q1,2727.954000,
1952Q2,2733.800000,
1952Q3,2753.517000,
1952Q4,2843.941000,
1953Q1,2896.811000,
1953Q2,2919.206000,
1953Q3,2902.785000,
1953Q4,2858.845000,
1954Q1,2845.192000,
1954Q2,2848.305000,
1954Q3,2880.482000,
1954Q4,2936.852000,
1955Q1,3020.746000,
1955Q2,3069.910000,
1955Q3,3111.379000,
1955Q4,3130.068000,
1956Q1,3117.922000,
1956Q2,3143.694000,
1956Q3,3140.874000,
1956Q4,3192.570000,
1957Q1,3213.011000,
1957Q2,3205.970000,
1957Q3,3237.386000,
1957Q4,3203.894000,
1958Q1,3120.724000,
1958Q2,3141.224000,
1958Q3,3213.884000,
1958Q4,3289.032000,
1959Q1,3352.129000,
1959Q2,3427.667000,
1959Q3,3430.057000,
1959Q4,3439.832000,
1960Q1,3517.181000,
1960Q2,3498.246000,
1960Q3,3515.385000,
1960Q4,3470.278000,
1961Q1,3493.703000,
1961Q2,3553.021000,
1961Q3,3621.252000,
1961Q4,3692.289000,
1962Q1,3758.147000,
1962Q2,3792.149000,
1962Q3,3838.776000,
1962Q4,3851.421000,
1963Q1,3893.482000,
1963Q2,3937.183000,
1963Q3,4023.755000,
1963Q4,4050.147000,
1964Q1,4135.553000,
1964Q2,4180.592000,
1964Q3,4245.918000,
1964Q4,4259.046000,
1965Q1,4362.111000,
1965Q2,4417.225000,
1965Q3,4515.427000,
1965Q4,4619.458000,
1966Q1,4731.888000,
1966Q2,4748.046000,
1966Q3,4788.254000,
1966Q4,4827.537000,
1967Q1,4870.299000,
1967Q2,4873.287000,
1967Q3,4919.392000,
1967Q4,4956.477000,
1968Q1,5057.553000,
1968Q2,5142.033000,
1968Q3,5181.859000,
1968Q4,5202.212000,
1969Q1,5283.597000,
1969Q2,5299.625000,
1969Q3,5334.600000,
1969Q4,5308.556000,
1970Q1,5300.652000,
1970Q2,5308.164000,
1970Q3,5357.077000,
1970Q4,5299.672000,
1971Q1,5443.619000,
1971Q2,5473.059000,
1971Q3,5518.072000,
1971Q4,5531.032000,
1972Q1,5632.649000,
1972Q2,5760.470000,
1972Q3,5814.854000,
1972Q4,5912.220000,
1973Q1,6058.544000,
1973Q2,6124.506000,
1973Q3,6092.301000,
1973Q4,6150.131000,
1974Q1,6097.258000,
1974Q2,6111.751000,
1974Q3,6053.978000,
1974Q4,6030.464000,
1975Q1,5957.035000,
1975Q2,5999.610000,
1975Q3,6102.326000,
1975Q4,6184.530000,
1976Q1,6323.649000,
1976Q2,6370.025000,
1976Q3,6404.895000,
1976Q4,6451.177000,
1977Q1,6527.703000,
1977Q2,6654.466000,
1977Q3,6774.457000,
1977Q4,6774.592000,
1978Q1,6796.260000,
1978Q2,7058.920000,
1978Q3,7129.915000,
1978Q4,7225.750000,
1979Q1,7238.727000,
1979Q2,7246.454000,
1979Q3,7300.281000,
1979Q4,7318.535000,
1980Q1,7341.557000,
1980Q2,7190.289000,
1980Q3,7181.743000,
1980Q4,7315.677000,
1981Q1,7459.022000,
1981Q2,7403.745000,
1981Q3,7492.405000,
1981Q4,7410.768000,
1982Q1,7295.631000,
1982Q2,7328.912000,
1982Q3,7300.896000,
1982Q4,7303.817000,
1983Q1,7400.066000,
1983Q2,7568.456000,
1983Q3,7719.746000,
1983Q4,7880.794000,
1984Q1,8034.847000,
1984Q2,8173.670000,
1984Q3,8252.465000,
1984Q4,8320.199000,
1985Q1,8400.820000,
1985Q2,8474.787000,
1985Q3,8604.220000,
1985Q4,8668.188000,
1986Q1,8749.127000,
1986Q2,8788.524000,
1986Q3,8872.601000,
1986Q4,8920.193000,
1987Q1,8986.367000,
1987Q2,9083.256000,
1987Q3,9162.024000,
1987Q4,9319.332000,
1988Q1,9367.502000,
1988Q2,9490.594000,
1988Q3,9546.206000,
1988Q4,9673.405000,
1989Q1,9771.725000,
1989Q2,9846.293000,
1989Q3,9919.228000,
1989Q4,9938.767000,
1990Q1,10047.386000,
1990Q2,10083.855000,
1990Q3,10090.569000,
1990Q4,9998.704000,
1991Q1,9951.916000,
1991Q2,10029.510000,
1991Q3,10080.195000,
1991Q4,10115.329000,
1992Q1,10236.435000,
1992Q2,10347.429000,
1992Q3,10449.673000,
1992Q4,10558.648000,
1993Q1,10576.275000,
1993Q2,10637.847000,
1993Q3,10688.606000,
1993Q4,10833.987000,
1994Q1,10939.116000,
1994Q2,11087.361000,
1994Q3,11152.176000,
1994Q4,11279.932000,
1995Q1,11319.951000,
1995Q2,11353.721000,
1995Q3,11450.310000,
1995Q4,11528.067000,
1996Q1,11614.418000,
1996Q2,11808.140000,
1996Q3,11914.063000,
1996Q4,12037.775000,
1997Q1,12115.472000,
1997Q2,12317.221000,
1997Q3,12471.010000,
1997Q4,12577.495000,
1998Q1,12703.742000,
1998Q2,12821.339000,
1998Q3,12982.752000,
1998Q4,13191.670000,
1999Q1,13315.597000,
1999Q2,13426.748000,
1999Q3,13604.771000,
1999Q4,13827.980000,
2000Q1,13878.147000,
2000Q2,14130.908000,
2000Q3,14145.312000,
2000Q4,14229.765000,
2001Q1,14183.120000,
2001Q2,14271.694000,
2001Q3,14214.516000,
2001Q4,14253.574000,
2002Q1,14372.785000,3501.118000
2002Q2,14460.848000,3608.496000
2002Q3,14519.633000,3650.253000
2002Q4,14537.580000,3712.845000
2003Q1,14614.141000,3582.767000
2003Q2,14743.567000,3680.929000
2003Q3,14988.782000,3753.431000
2003Q4,15162.760000,3860.185000
2004Q1,15248.680000,3741.640000
2004Q2,15366.850000,3837.587000
2004Q3,15512.619000,3879.617000
2004Q4,15670.880000,3990.913000
2005Q1,15844.727000,3867.076000
2005Q2,15922.782000,3972.818000
2005Q3,16047.587000,4040.686000
2005Q4,16136.734000,4107.378000
2006Q1,16353.835000,4003.482000
2006Q2,16396.151000,4116.718000
2006Q3,16420.738000,4111.947000
2006Q4,16561.866000,4201.000000
2007Q1,16611.690000,4063.753000
2007Q2,16713.314000,4184.414000
2007Q3,16809.587000,4208.612000
2007Q4,16915.191000,4305.666000
2008Q1,16843.003000,4182.537000
2008Q2,16943.291000,4226.589000
2008Q3,16854.295000,4192.399000
2008Q4,16485.350000,4179.959000
2009Q1,16298.262000,3976.808000
2009Q2,16269.145000,4060.384000
2009Q3,16326.281000,4102.854000
2009Q4,16502.754000,4209.064000
2010Q1,16582.710000,4055.062000
2010Q2,16743.162000,4188.706000
2010Q3,16872.266000,4229.410000
2010Q4,16960.864000,4316.573000
2011Q1,16920.632000,4155.635000
2011Q2,17035.114000,4251.800000
2011Q3,17031.313000,4273.162000
2011Q4,17222.583000,4371.813000
2012Q1,17367.010000,4279.816000
2012Q2,17444.525000,4345.706000
2012Q3,17469.650000,4376.682000
2012Q4,17489.852000,4440.555000
2013Q1,17662.400000,4320.262000
2013Q2,17709.671000,4419.140000
2013Q3,17860.450000,4486.445000
2013Q4,18016.147000,4586.321000
2014Q1,17953.974000,4403.178000
2014Q2,18185.911000,4532.342000
2014Q3,18406.941000,4616.610000
2014Q4,18500.031000,4709.584000
2015Q1,18666.621000,4562.381000
2015Q2,18782.243000,4696.817000
2015Q3,18857.418000,4741.070000
2015Q4,18892.206000,4799.354000
2016Q1,19001.690000,4641.851000
2016Q2,19062.709000,4768.308000
2016Q3,19197.938000,4819.182000
2016Q4,19304.352000,4912.331000
2017Q1,19398.343000,4698.367000
2017Q2,19506.949000,4893.234000
2017Q3,19660.766000,4950.878000
2017Q4,19882.352000,5069.624000
2018Q1,20044.077000,4890.817000
2018Q2,20150.476000,5039.983000
2018Q3,20276.154000,5092.532000
2018Q4,20304.874000,5170.563000
2019Q1,20431.641000,4973.048000
2019Q2,20602.275000,5159.323000
2019Q3,20843.322000,5232.278000
2019Q4,20985.448000,5351.022000
2020Q1,20709.212000,5055.712000
2020Q2,19077.992000,4780.549000
2020Q3,20558.879000,5145.053000
2020Q4,20791.917000,5303.186000
2021Q1,21082.134000,5145.087000
2021Q2,21440.929000,5368.017000
2021Q3,21617.828000,5418.754000
2021Q4,21988.737000,5600.549000
2022Q1,21932.710000,5354.373000
2022Q2,21967.045000,5495.481000
2022Q3,22125.625000,5556.056000
2022Q4,22278.345000,5670.022000
2023Q1,22439.607000,5488.947000
2023Q2,22580.499000,5655.781000
2023Q3,22840.989000,5731.929000
2023Q4,23033.780000,5847.063000
2024Q1,23082.119000,5647.300000
2024Q2,23286.508000,5829.384000
2024Q3,23478.570000,5884.567000
2024Q4,23586.542000,5997.184000
2025Q1,23548.210000,5776.724000
2025Q2,23770.976000,5943.384000
2025Q3,24026.834000,6023.785000
2025Q4,24055.749000,6119.385000
2026Q1,24180.419000,5893.384000
2026Q2,24269.613000,6069.701000
