date,pbi
1996-01-01,47884.6254354263
1996-04-01,51913.6802841099
1996-07-01,50072.6007893094
1996-10-01,51138.3832151705
1997-01-01,50364.8714654994
1997-04-01,56186.4675773475
1997-07-01,53279.5825537357
1997-10-01,54197.3697924744
1998-01-01,51486.8762910731
1998-04-01,54478.7931775254
1998-07-01,53514.8455470799
1998-10-01,53709.4783769102
1999-01-01,51214.6336370812
1999-04-01,55517.781013156
1999-07-01,53196.0898080476
1999-10-01,56448.2361722294
2000-01-01,54674.8223764209
2000-04-01,58255.5507054466
2000-07-01,54621.7511351727
2000-10-01,54654.5831316539
2001-01-01,51760.3669761745
2001-04-01,58431.0640912253
2001-07-01,56119.6473108455
2001-10-01,57268.497372373
2002-01-01,55137.7411989528
2002-04-01,62307.2267834046
2002-07-01,58404.3544652876
2002-10-01,59923.6246813338
2003-01-01,58249.270140964
2003-04-01,65202.488111194
2003-07-01,60551.6834730799
2003-10-01,61589.1720277519
2004-01-01,60913.815574515
2004-04-01,67639.7128672909
2004-07-01,63145.7528506701
2004-10-01,66070.5049405968
2005-01-01,64340.8894127658
2005-04-01,71310.3676198867
2005-07-01,67229.8261868521
2005-10-01,71090.0706672864
2006-01-01,69670.7640688162
2006-04-01,75823.9354937986
2006-07-01,72806.2690644193
2006-10-01,76296.8621833945
2007-01-01,73354.118
2007-04-01,80625.953
2007-07-01,80699.632
2007-10-01,85013.297
2008-01-01,80796.3110951608
2008-04-01,89117.7139999984
2008-07-01,88430.240999998
2008-10-01,90525.7339497542
2009-01-01,82892.2081445808
2009-04-01,88463.962000002
2009-07-01,88341.3289999977
2009-10-01,92995.5009058618
2010-01-01,87436.7171800608
2010-04-01,96793.1180000031
2010-07-01,96794.9929999976
2010-10-01,101056.171820388
2011-01-01,94793.5222929377
2011-04-01,101908.285000004
2011-07-01,102420.281999997
2011-10-01,107133.910718154
2012-01-01,100585.981363423
2012-04-01,107914.996000004
2012-07-01,109610.687999996
2012-10-01,113087.33467425
2013-01-01,105593.393451436
2013-04-01,114674.824000004
2013-07-01,115339.650999996
2013-10-01,120827.13158101
2014-01-01,110825.894512799
2014-04-01,116921.198000004
2014-07-01,117442.511999996
2014-10-01,122118.395569731
2015-01-01,112965.83753642
2015-04-01,120634.696000004
2015-07-01,121148.701999996
2015-10-01,127756.764476669
2016-01-01,118025.323590825
2016-04-01,125140.772000005
2016-07-01,126735.901999996
2016-10-01,131679.002423666
2017-01-01,120720.841670623
2017-04-01,128455.461000005
2017-07-01,130303.086999996
2017-10-01,134735.610401299
2018-01-01,124544.027718609
2018-04-01,135643.668000005
2018-07-01,133481.058999995
2018-10-01,140957.245326021
2019-01-01,127532.946747517
2019-04-01,137204.789000005
2019-07-01,138005.246999995
2019-10-01,143862.017305252
2020-01-01,122974.622805243
2020-04-01,95975.8480000031
2020-07-01,126016.232999996
2020-10-01,141876.296287791
2021-01-01,128175.738787238
2021-04-01,136362.095000005
2021-07-01,140832.369999995
2021-10-01,146790.796252886
2022-01-01,133215.627842148
2022-04-01,141045.790000005
2022-07-01,143727.942999995
2022-10-01,149732.639230427
2023-01-01,133188.255831495
2023-04-01,140469.188000005
2023-07-01,142835.029999995
2023-10-01,149238.526247161
2024-01-01,135172.35686503
2024-04-01,145885.276000006
2024-07-01,148691.983999995
2024-10-01,155868.383158359
2025-01-01,140592.187351702
2025-04-01,149867.872718688
2025-07-01,154199.554955317
2025-10-01,161048.431148187
2026-01-01,145603.618609189
2026-04-01,153715.315456915
